EDITION;YEAR;HEADLINERS
1st;2001;Armand Van Helden, Le Hammond Inferno, el exlíder de Pizzicato 5, Yasuharu Konishi, Faze Action, Bent, Los Planetas, Manta Ray, Sr. Chinarro, Samuel L. Session, Unkle, Carl Craig, Dj Godfather, Gentle People Dj’s, Leila, Zip, Gus Gus Djs
2nd;2002;Pulp, Tindersticks, Spiritualized, Echo & The Bunnymen, J Mascis, Aphex Twin, Luke Slater, Giant Sand, The Delgados, Dave Clarke, Bis, Ian Pooley, Andrew Weatherall, Le Tigre, Gonzales, The Moldy Peaches, Chicks on Speed, Atom Rhumba, Clem Snide, La Buena Vida, Green Velvet, Cinerama, Lo-Fidelity Allstars, The Zephyrs
3rd;2003;Belle and Sebastian, Yo La Tengo, Teenage Fanclub, Arab Strap, I Am Kloot, Sonic Youth, Mogwai, The White Stripes, Television, Beef, The Go-Betweens, 2 Many Dj’s, Julian Cope, Definitive Jux Live!, Baxter Dury, Super Collider, Umek, Thalia Zedek, Nacho Vegas Y Las Esferas Invisibles, Wire, Roni Size, Future Bible Heroes, Ed Harcourt, John Parish, Scratch Perverts, Mary Gauthier, Dj/Rupture, Michael Mayer, Console, Tocotronic, Adam Beyer, Standstill, Élena, Antònia Font, Tokyo Sex Destruction, Vacaciones, Grupo Salvaje, Dj Psychocandy, The Folk Implosion, Ikara Colt, Adam Green, The Kills, Soledad Brothers, Munk (Gomma Dj’s), Migala, Christina Rosenvinge, Mishima, Audience, Alma X, Dj Coco, LCD Soundsystem, Märtini Brös, Erol Alkan, Dj Dexter, Dj’s Are Not Rockstars, Gold Chains, Rahim, Peaches, Le Hammond Inferno, Ellen Alien, W.I.T., Larry Tee, Cobra Killer, La Presidente, Rewind DJ’s
4th;2004;Pixies, PJ Harvey, Primal Scream, The Divine Comedy, Wilco, Franz Ferdinand, Edison Woods, Berg Sans Nipple, Fernando Alfaro & Nacho Vegas, Xiu Xiu, Telefax,  Liars, !!! (chk chk chk), Benjamin Biolay, Dominique A, Scissor Sisters, Pretty Girls Make Graves, Chicks on Speed, Sun Kil Moon, Julie Delpy, Devendra Banhart, (Smog), Dayna Kurtz, Plaid, Elbow, Nina Nastasia, The Glimmer Twins, Colder, Cristian Vogel, Blackstrobe, The Ladybug Transistor, Casiotone For The Painfully Alone, The Russian Futurists, The Fall, Mudhoney, Lloyd Cole, The Raveonettes, The Hidden Cameras, Erol Alkan, Numbers, Kid 606, 2 Many Dj's, James Murphy, Miss Kittin, Luke Slater, Technasia, Experience, Willard Grant Conspiracy, Dizzee Rascal, Michael Gira, James Chance & The Contortions, Jason Forrest, Dj/Rupture, Alexander Robotnik, David Holmes, La Buena Vida, Lluís Llach, Ruper Ordorika, Chucho, Atom Rhumba
5th;2005; Enrique Morente, Brigitte Fontaine, Psychic TV, Antony & the Johnsons, Vic Chesnutt, Tortoise, New Order, The Stooges Iggy Pop, Sonic Youth, Steve Earle, Gang of Four, The Wedding Present, Echo & The Bunnymen, The Dirtbombs, American Music Club, Psychic TV, Enrique Morente, They Might Be Giants, Micah P. Hinson, Arcade Fire, Broken Social Scene, Vitalic, Sons and Daughters, Kompakt Sound System, Polysics, The Futureheads, Vetiver, Isis, Los Planetas, Parker & Lily, Dominique A, M83, Experience, The Married Monk, Helena, Françoiz Breut, Ginferno, Tarántula, Garzón, The Secret Society, The Cheese
6th;2006;Lou Reed, Motörhead, Yo La Tengo, The Flaming Lips, Big Star, Yeah Yeah Yeahs, Babyshambles, Animal Collective, The Rogers Sisters,  No Neck Blues Band, Gang Gang Dance, Deerhoof, Boredoms o Akron/Family, The Deadly Snakes, The Drones, The New Christs, Erol Alkan, Ellen Allien & Apparat, Dj Rush, Rex The Dog, Joris Voorn, The MFA, Richard Hawley, Isobel Campbell, José González, Vashti Bunyan, Undertow Orchestra, Stereolab, The Brian Jonestown Massacre,  Centro-Matic, Lambchop, Drive-By Truckers, Sleater Kinney, ESG,  Surfin Bichos, 12Twelve, Southern Arts Society, Anari, Tachenko,  Remate, Pauline En La Playa, Le Jonathan Reilly, Coconot, Ainara LeGardon, Beef, Stay, Mazoni, Meu, The Charades, Prin’ La Lá and Clint
7th;2007;Smashing Pumpkins, Sonic Youth, Patti Smith,  Herman Düne, Múm, Blonde Redhead, The Good The Bad And The Queen, Jonathan Richman, Dirty Three, Black Mountain, The Durutti Column, Maximo Park, Nathan Fake, Pelican, Architecture In Helsinki, Kimya Dawson, Shannon Wright, Robyn Hitchcock And The Venus 3, Buzzcocks, Ted Leo and the Pharmacists, Grizzly Bear, Billy Bragg, Girls Against Boys, Isis, Low, Band Of Horses, Built to Spill, Kid Koala, The Long Blondes, Justice, Hell, Diplo, Erol Alkan, Dj Yoda, Lisabö, Half Foot Outside, Veracruz, Za, The Light Brigada,  Centro-Matic, Of Montreal, At Swim Two Birds, Erol Alkan, The Orchids, The Sadies , Nueva Vulcano
8th;2008;A Place To Bury Strangers, Health, Times New Viking, Moho, Shipping News, Portishead, MGMT, Public Enemy, Vampire Weekend, Cat Power, Bishop Allen, El Guincho,  The Sonics, Devo, Nick Lowe, Mary Weiss, Rufus Wainwright, Enrique Morente, Lagartija Nick, Animal Collective, Tindersticks, Apparat Band, Bon Iver, Dirty Projectors, Fuck Buttons, Les Savy Fav, Menomena, Holy Fuck, Okkervil River, Pissed Jeans, Unchained, The Wave Pictures, Russian Red, Lightspeed Champion, The Strange Death Of Liberal England, Surkin, Tarántula, The Mary Onettes, Messer Chups, It’s Not Not, The Marzipan Man, Deerhunter, Eric’s Trip, Devastations, Fanfarlo, Throbbing Gristle, Om, Buffalo Tom, Caribou, Awesome Color, Digital Mystikz, DM Smith, Explosions In The Sky, Clipse, Holly Golightly & The Brakeoffs, Kelley Stoltz, The Missing Leech, No Age, Fasenuova, MV & EE with The Golden Road, Les Aus, Gentle Music Men, The Right Ons, Soulin’ Thunder Revue, Scout Niblett
9th;2009;  Cuzo, La Bien Querida, Veracruz, My Bloody Valentine, Yo La Tengo, The Vaselines, Phoenix, Aphex Twin, Squarepusher, Andrew Bird, The Horrors, Bloc Party, Throwing Muses, Saint Etienne, Jarvis Cocker, Art Brut, Damien Jurado ,  Sonic Youth, Herman Dune, Deerhunter, Simian Mobile Disco, Liars, Michael Nyman, Ghostface Killah, Black Lips, Neil Young, Ezra Furman & The Harpoons, Girls, The Lions Constellation, Rosvita
10th;2010;Pavement, Superchunk, Mark E. Smith, The Fall, The xx, Pony Bravo,  El Mató A Un Policía Motorizado, Monotonix, Beach House, Standstill, Wire,  Shellac, Les Savy Fav, Japandroids, Cold Cave , Best Coast, Pet Shop Boys, Orbital,  La Leyenda Del Tiempo, Ben Frost, Brian Wilson,  Van Dyke Parks, Built To Spill, Grizzly Bear, Matt & Kim,  Dum Dum Girls, Ganglians, Real Estate, The King Khan & BBQ Show,  McEnroe, Diploide,  Maika Makovski, Los Campesinos!, Toundra, Me And The Bees, Internet2, The Nu Niles
