EDITION;YEAR;DATE;ASSISTANTS;TICKETSDAY;PRICEDAY;TICKETSFULLFEST;PRICEFULLFEST;TICKETSVIP;PRICEVIP;TOTALTICKETS;EARNINGS
1st;2001;April28;8000;8000;35.0;0;0.0;0;0.0;8000;280000
2nd;2002;May17-18;15000;15000;45.0;0;75.0;0;0.0;15000;675000
3rd;2003;May23-24;25000;20000;45.0;5000;85.0;0;0.0;25000;1325000
4th;2004;May27-29;38000;30000;50.0;8000;100.0;0;0.0;38000;2300000
5th;2005;May26-28;44000;40000;55.0;3000;125.0;1000;100.0;44000;2675000
6th;2006;June1-5;52000;45000;55.0;5000;125.0;2000;100.0;52000;3300000
7th;2007;May31-Jun2;62000;55000;60.0;5000;125.0;2000;400.0;62000;4725000
8th;2008;May29-31;60000;55000;65.0;4000;135.0;1000;140.0;60000;4255000
9th;2009;May28-30;80000;70000;65.0;8000;135.0;2000;155.0;80000;5940000
10th;2010;May27-29;100000;90000;70.0;8000;140.0;2000;155.0;100000;7730000
11th;2011;May26-28;117000;100000;70.0;10000;145.0;7000;155.0;117000;9535000
12th;2012;May31-Jun2;120000;100000;70.0;15000;155.0;5000;290.0;120000;10775000
13th;2013;May23-25;170000;140000;75.0;20000;155.0;10000;300.0;170000;16600000
14th;2014;May29-31;190000;160000;75.0;20000;165.0;10000;300.0;190000;18300000
15th;2015;May28-30;194000;160000;75.0;20000;175.0;14000;300.0;194000;19700000
16th;2016;Jun1-4;200000;170000;80.0;20000;180.0;10000;300.0;200000;20200000
17th;2017;May31-Jun3;209000;172000;80.0;22000;185.0;15000;300.0;209000;22330000
18th;2018;May30-Jun3;217000;180000;85.0;25000;215.0;12000;400.0;217000;25475000
19th;2019;May30-Jun1;220000;180000;85.0;25000;195.0;15000;400.0;220000;26175000
20th;2022;Jun2-Jun6;0;0;85.0;0;195.0;0;400.0;0;0
